gene_name,gene_code,predicted_cluster
NOC2L,ENSG00000188976,-1
KLHL17,ENSG00000187961,-1
ISG15,ENSG00000187608,-1
UBE2J2,ENSG00000160087,26
INTS11,ENSG00000127054,-1
MXRA8,ENSG00000162576,43
AURKAIP1,ENSG00000175756,36
MRPL20,ENSG00000242485,-1
ATAD3B,ENSG00000160072,27
ATAD3A,ENSG00000197785,36
SSU72,ENSG00000160075,-1
FAAP20,ENSG00000162585,20
RPL22,ENSG00000116251,0
NOL9,ENSG00000162408,-1
PARK7,ENSG00000116288,-1
ENO1,ENSG00000074800,35
LZIC,ENSG00000162441,-1
PGD,ENSG00000142657,-1
DFFA,ENSG00000160049,27
TARDBP,ENSG00000120948,-1
SRM,ENSG00000116649,-1
EXOSC10,ENSG00000171824,-1
MTOR,ENSG00000198793,-1
MAD2L2,ENSG00000116670,26
MFN2,ENSG00000116688,-1
MIIP,ENSG00000116691,26
VPS13D,ENSG00000048707,-1
DDI2,ENSG00000197312,44
SPEN,ENSG00000065526,43
ZBTB17,ENSG00000116809,-1
NECAP2,ENSG00000157191,43
SDHB,ENSG00000117118,28
MRTO4,ENSG00000053372,33
CAPZB,ENSG00000077549,22
MICOS10,ENSG00000173436,13
DDOST,ENSG00000244038,3
KDM1A,ENSG00000004487,-1
HNRNPR,ENSG00000125944,32
RPL11,ENSG00000142676,4
PITHD1,ENSG00000057757,23
SRSF10,ENSG00000188529,-1
SRRM1,ENSG00000133226,31
SYF2,ENSG00000117614,42
RSRP1,ENSG00000117616,40
TMEM50A,ENSG00000183726,-1
AUNIP,ENSG00000127423,-1
STMN1,ENSG00000117632,7
ZNF593,ENSG00000142684,-1
SH3BGRL3,ENSG00000142669,14
DHDDS,ENSG00000117682,-1
HMGN2,ENSG00000198830,-1
GPN2,ENSG00000142751,-1
NUDC,ENSG00000090273,-1
WDTC1,ENSG00000142784,-1
WASF2,ENSG00000158195,-1
PPP1R8,ENSG00000117751,-1
RPA2,ENSG00000117748,19
DNAJC8,ENSG00000126698,-1
ATP5IF1,ENSG00000130770,23
SESN2,ENSG00000130766,15
RCC1,ENSG00000180198,32
SNHG3,ENSG00000242125,6
TRNAU1AP,ENSG00000180098,-1
SNHG12,ENSG00000197989,-1
TAF12,ENSG00000120656,-1
YTHDF2,ENSG00000198492,-1
EPB41,ENSG00000159023,-1
SRSF4,ENSG00000116350,-1
LAPTM5,ENSG00000162511,14
PUM1,ENSG00000134644,-1
SNRNP40,ENSG00000060688,-1
ZCCHC17,ENSG00000121766,-1
PTP4A2,ENSG00000184007,-1
KPNA6,ENSG00000025800,43
CCDC28B,ENSG00000160050,-1
EIF3I,ENSG00000084623,-1
HDAC1,ENSG00000116478,-1
MARCKSL1,ENSG00000175130,-1
BSDC1,ENSG00000160058,42
ZBTB8OS,ENSG00000176261,-1
RBBP4,ENSG00000162521,19
KIAA1522,ENSG00000162522,22
YARS,ENSG00000134684,16
TMEM54,ENSG00000121900,-1
AK2,ENSG00000004455,36
SMIM12,ENSG00000163866,-1
SFPQ,ENSG00000116560,-1
ZMYM4,ENSG00000146463,-1
NCDN,ENSG00000020129,47
PSMB2,ENSG00000126067,8
CLSPN,ENSG00000092853,-1
AGO3,ENSG00000126070,42
MAP7D1,ENSG00000116871,26
THRAP3,ENSG00000054118,-1
EVA1B,ENSG00000142694,-1
LSM10,ENSG00000181817,-1
MRPS15,ENSG00000116898,-1
MEAF6,ENSG00000163875,-1
GNL2,ENSG00000134697,27
C1orf109,ENSG00000116922,-1
YRDC,ENSG00000196449,-1
C1orf122,ENSG00000197982,-1
MTF1,ENSG00000188786,37
SF3A3,ENSG00000183431,-1
FHL3,ENSG00000183386,-1
UTP11,ENSG00000183520,-1
AKIRIN1,ENSG00000174574,29
NDUFS5,ENSG00000168653,33
MACF1,ENSG00000127603,-1
PABPC4,ENSG00000090621,32
PPIE,ENSG00000084072,-1
CAP1,ENSG00000131236,14
RLF,ENSG00000117000,43
SMAP2,ENSG00000084070,14
NFYC,ENSG00000066136,-1
CTPS1,ENSG00000171793,-1
PPCS,ENSG00000127125,-1
PPIH,ENSG00000171960,32
